statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT050B059;50 bis 59 Jahre;STAZG1;Staatsangehörigkeit;;Insgesamt;12926437;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT070B079;70 bis 79 Jahre;STAZG1;Staatsangehörigkeit;;Insgesamt;7338960;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT030B039;30 bis 39 Jahre;STAZG1;Staatsangehörigkeit;;Insgesamt;10855510;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);;Insgesamt;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;10913347;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT000B009;Unter 10 Jahre;STAZG1;Staatsangehörigkeit;;Insgesamt;7758664;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT000B009;Unter 10 Jahre;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;6664203;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT010B019;10 bis 19 Jahre;STAZG1;Staatsangehörigkeit;;Insgesamt;7580167;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT030B039;30 bis 39 Jahre;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;8573074;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT040B049;40 bis 49 Jahre;STAZG1;Staatsangehörigkeit;;Insgesamt;10000497;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT070B079;70 bis 79 Jahre;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;6875690;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT020B029;20 bis 29 Jahre;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;7273798;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT020B029;20 bis 29 Jahre;STAZG1;Staatsangehörigkeit;;Insgesamt;9158337;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT010B019;10 bis 19 Jahre;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;6619986;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT070B079;70 bis 79 Jahre;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;463267;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT060B069;60 bis 69 Jahre;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;750552;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT060B069;60 bis 69 Jahre;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;10309240;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);;Insgesamt;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;71806193;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT040B049;40 bis 49 Jahre;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;8081743;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT050B059;50 bis 59 Jahre;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;11544832;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);;Insgesamt;STAZG1;Staatsangehörigkeit;;Insgesamt;82719540;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT020B029;20 bis 29 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;21777;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT040B049;40 bis 49 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);826258;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT030B039;30 bis 39 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;628408;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT020B029;20 bis 29 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;450978;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT010B019;10 bis 19 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;356643;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT040B049;40 bis 49 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;12186;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT070B079;70 bis 79 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;43659;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);;Insgesamt;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;3281776;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT030B039;30 bis 39 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;759852;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT010B019;10 bis 19 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;267595;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT070B079;70 bis 79 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;2004;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT050B059;50 bis 59 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;255259;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT060B069;60 bis 69 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;4428;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT000B009;Unter 10 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;245365;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT010B019;10 bis 19 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;6619986;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT010B019;10 bis 19 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);318679;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT020B029;20 bis 29 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;7273798;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT050B059;50 bis 59 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;11544832;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT070B079;70 bis 79 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;6875690;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT050B059;50 bis 59 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);630330;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT060B069;60 bis 69 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;10309240;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT080BXXX;80 Jahre und älter;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;5863627;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);;Insgesamt;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);4306988;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT080BXXX;80 Jahre und älter;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;16822;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT000B009;Unter 10 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;6664203;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT000B009;Unter 10 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;447878;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT000B009;Unter 10 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;38817;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);;Insgesamt;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;3199695;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);;Insgesamt;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;71806193;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT020B029;20 bis 29 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);647925;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT040B049;40 bis 49 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;8081743;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT080BXXX;80 Jahre und älter;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);77071;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT030B039;30 bis 39 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND000;Deutschland;8573074;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT030B039;30 bis 39 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);874899;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);;Insgesamt;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;124883;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT080BXXX;80 Jahre und älter;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;719;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT010B019;10 bis 19 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;17261;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT080BXXX;80 Jahre und älter;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;82932;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT030B039;30 bis 39 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;19276;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT020B029;20 bis 29 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;763858;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT060B069;60 bis 69 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;262514;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT040B049;40 bis 49 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;430620;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT070B079;70 bis 79 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);210920;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT060B069;60 bis 69 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-WELT-SONST;Sonstige Welt;125108;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT000B009;Unter 10 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);362401;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT070B079;70 bis 79 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;206692;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT060B069;60 bis 69 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EU27-2020;EU27-Land (EU_2020);358503;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT050B059;50 bis 59 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;487604;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT050B059;50 bis 59 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-SONST;Sonstige;8418;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ALTGR2;Alter (10er-Jahresgruppen);ALT040B049;40 bis 49 Jahre;STAGR2;Staatsangehörigkeit (Gruppen);LAND-EUR-SONST;Sonstiges Europa;649692;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOBL1;Bundesländer;10;Saarland;ALTGR2;Alter (10er-Jahresgruppen);ALT000B009;Unter 10 Jahre;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;69184;Anzahl;PRS018;Personen;e
